City,Population,Longitude,Latitude
Holsted,3053,8.9151177,55.5059786
Glejbjerg,660,8.8262584,55.5581691
Sønder Hygum,424,8.9802319,55.3529723
Hovborg,397,8.9406207,55.6049888
Askov,1974,9.0982313,55.4694366
Vejen,10416,9.1317951,55.4743417
Store Andst,792,9.2329434,55.4831197
Skodborg,1221,9.1529678,55.4187528
Gesten,848,9.2028076,55.5255015
Bække,1034,9.1377573,55.5702937
Jels,1962,9.2055988,55.3553796
Øster Lindet,400,9.1466492,55.3077931
Varnæs,426,9.5694591,55.0143586
Hostrupskov,519,9.4536495,55.0147124
Hellevad,536,9.2098498,55.0759203
Ravsted,413,9.1347541,55.0035845
Genner,743,9.4349773,55.1181484
