City,Population,Latitude,Longitude
Vindeballe,217,54.8756522,10.3511321
Ommel,255,54.8725199,10.4867655
Ærøskøbing,932,54.8896647,10.411167
Nustrup,544,55.2721769,9.1783513
Mølby,251,55.3198057,9.2643625
Hejsager,264,55.2159651,9.6152653
Starup,2575,55.240084,9.5413685
Øsby,454,55.2523944,9.6436847
Fjelstrup,572,55.321379,9.5693605
Hoptrup,612,55.1800826,9.4564753
Årøsund,304,55.2580919,9.7068676
Over Jerstal,1097,55.1976588,9.3041469
Bevtoft,728,55.1986658,9.2068818
Haderslev,22405,55.2500715,9.4997871
Vedsted,347,55.19555,9.3598691
Sønder Vilstrup,417,55.191519,9.5178712
Gram,2448,55.2869915,9.0463292
Arnum,486,55.2480294,8.9679277
Fole,225,55.3156211,8.9821425
Sommersted,1032,55.3191435,9.2996743
Jegerup,403,55.2803066,9.2916778
Vojens,7424,55.2464268,9.3082416
Hammelev,1060,55.2447907,9.3837264
Marstrup,778,55.2086139,9.4423251
Styding,209,55.2536039,9.358046
Billund,7484,55.7247018,9.1195835
Vorbasse,1284,55.6299331,9.0814844
Filskov,697,55.8122787,9.029324
Grindsted,10414,55.7570833,8.9277576
Stenderup,647,55.7914096,9.8079613
Hejnsvig,1009,55.693594,8.9953244
Sønder Omme,1694,55.8390485,8.8937974
Nordborg,5680,55.0553387,9.7470524
Stevning,410,55.0032177,9.8249202
Asserballe,252,54.9657293,9.9547129
Fynshav,789,54.9878426,9.9813057
Lysabild,519,54.9016897,10.0073692
Skovby,298,54.8844761,9.9948004
Broager,3227,54.8892125,9.6675155
Tandslet,607,54.9239462,9.9848576
Adsbøl,309,54.9400824,9.6215573
Holm,380,55.0519238,9.7020665
Avnbøl,383,54.9586037,9.6465293
Blans,489,54.9897447,9.6603996
Augustenborg,3118,54.9506719,9.8743203
Guderup,2392,54.9912743,9.8681259
Hundslev,371,54.9824719,9.9182231
Kær,317,54.9376017,9.7955222
Dybbøl,2325,54.914791,9.7211826
Vester Sottrup,1452,54.9473337,9.6991391
Ullerup,395,54.9659523,9.6635378
Egernsund,1431,54.9065871,9.6032632
Gråsten,4298,54.9140178,9.5866302
Nybøl,1130,54.9211937,9.6821774
Kværs,378,54.930897,9.4956816
Tørsbøl,257,54.9141156,9.4911569
Rinkenæs,1269,54.8951761,9.5627554
Høruphav,2758,54.9104119,9.8959427
Kirke Hørup,258,54.9269384,9.9038148
Sønderborg,28333,54.9089186,9.7897999
Skelde,258,54.8596273,9.7245042
Toftlund,3225,55.1866229,9.0669072
Agerskov,1175,55.130201,9.1288286
Branderup,259,55.1220082,9.0686157
Arrild,314,55.1516082,8.9615909
Abild,503,54.9785557,8.8697433
Visby,345,55.0096346,8.7803291
Løgumkloster,3519,55.0595541,8.9568232
Tønder,7477,54.9380637,8.8629408
Jejsing,439,54.9385516,8.9625144
Skærbæk,5848,55.157032,8.765738
Havneby,257,55.0868902,8.563597
Bredebro,1436,55.0556028,8.8270664
Øster Højst,485,55.0017615,9.0391409
Husum-Ballum,293,55.0760629,8.6659156
Højer,1072,54.9638824,8.69514
Møgeltønder,757,54.9433547,8.8024693
Frifelt,241,55.2153852,8.8329031
Brøns,374,55.1944054,8.7278095
Rejsby,265,55.2325738,8.7237352
Gredstedbro,1071,55.3980215,8.7426321
Vilslev,447,55.3973927,8.7068262
Jernved,313,55.4224806,8.8017425
Bramming,7315,55.4655911,8.7027506
Gørding,1782,55.4734235,8.7999523
Tjæreborg,2956,55.4643476,8.5857229
Grimstrup,563,55.5286786,8.6529587
Ribe,8367,55.3284036,8.7647838
Øster Vedsted,823,55.3150064,8.7351424
Store Darum,929,55.4303222,8.6485897
Egebæk,1094,55.2792862,8.7294844
Vejrup,788,55.5216431,8.7794135
Esbjerg,71554,55.4664892,8.4520751
Andrup,1457,55.4989381,8.5358345
Guldager,978,55.5300879,8.4054744
Roager,319,55.2521539,8.8245213
